Title,Decription,Link
Cá voi lưng gù bị đâm lệch cột sống,MEXICOCon cá voi lưng gù ngoài khơi Baja California Sur có thể sẽ chết do xương cột sống biến dạng vì tàu thủy đâm phải khiến nó khó di chuyển và kiếm ăn.,https://vnexpress.net/ca-voi-lung-gu-bi-dam-lech-cot-song-4698946.html
Camera chụp một bức ảnh kéo dài 1.000 năm,MỸCamera với thiết kế đơn giản được đặt trên đồi Tumamoc để ghi lại những thay đổi về cảnh quan trong suốt một thiên niên kỷ.,https://vnexpress.net/camera-chup-mot-buc-anh-keo-dai-1-000-nam-4699410.html
Trung Quốc sắp ra mắt nguyên mẫu tàu viên đạn 450 km/h,"Mẫu tàu viên đạn mới nhất trong dòng Fuxing có thể đạt tốc độ 450 km/h, đồng thời thân thiện với môi trường và tiết kiệm năng lượng hơn các phiên bản trước đó.",https://vnexpress.net/trung-quoc-sap-ra-mat-nguyen-mau-tau-vien-dan-450-km-h-4699393.html
Ứng dụng công nghệ mới kiểm đếm Vượn cao vít,CAO BẰNGTổ chức Fauna & Flora tại Việt Nam sử dụng công nghệ sinh trắc giọng hót xác nhận loài Vượn cao vít phân bố ở khu rừng nhỏ biên giới Việt - Trung là 74 con thay vì số lượng ước tính 120 trước đó.,https://vnexpress.net/ung-dung-cong-nghe-moi-kiem-dem-vuon-cao-vit-4698585.html
Bộ đồ giúp Neil Armstrong đặt chân lên Mặt Trăng,"MỸBộ đồ không gian được thiết kế bởi một thương hiệu nội y có thể chịu những điều kiện chết người trên Mặt Trăng, đồng thời đảm bảo độ linh hoạt cho phi hành gia.",https://vnexpress.net/bo-do-giup-neil-armstrong-dat-chan-len-mat-trang-4698949.html
Cuộc thi Sáng kiến Khoa học 2024 thu hút nhiều giải pháp về môi trường,"Gần một tháng sau khi mở cổng nhận hồ sơ, cuộc thi Sáng kiến Khoa học do VnExpress tổ chức thu hút nhiều bài thi gồm các giải pháp, công nghệ mới, trong đó lĩnh vực môi trường chiếm ưu thế.",https://vnexpress.net/cuoc-thi-sang-kien-khoa-hoc-2024-thu-hut-nhieu-giai-phap-ve-moi-truong-4699041.html
Voi tìm cách cứu tê giác mắc kẹt khỏi bầy sư tử,"NAMIBIAĐàn voi hợp sức đuổi những con sư tử tấn công tê giác mắc kẹt dưới hố nước, gây bất ngờ cho các du khách tham quan công viên Etosha.",https://vnexpress.net/voi-tim-cach-cuu-te-giac-mac-ket-khoi-bay-su-tu-4698947.html
Học sinh trải nghiệm thiết kế chip IC,"Khoảng 200 học sinh THPT được trải nghiệm thiết kế chip IC đơn giản, giúp tiếp cận kiến thức vi mạch, nuôi dưỡng đam mê.",https://vnexpress.net/hoc-sinh-trai-nghiem-thiet-ke-chip-ic-4697994.html
Bộ chỉ số sáng tạo cấp địa phương của Việt Nam được xây dựng thế nào,,https://vnexpress.net/bo-chi-so-sang-tao-cap-dia-phuong-cua-viet-nam-duoc-xay-dung-the-nao-4693942.html
Top 5 nhà khoa học Việt nổi bật năm 2023,,https://vnexpress.net/top-5-nha-khoa-hoc-viet-noi-bat-nam-2023-4692840.html
Đập nước Ai Cập khổng lồ xây cách đây 3.700 năm,"Sadd-el-Kafara được coi là đập nước quy mô lớn cổ xưa nhất thế giới với chiều dài 113 m, chiều cao 14 m và chiều rộng chân đế 98 m.",https://vnexpress.net/dap-nuoc-ai-cap-khong-lo-xay-cach-day-3-700-nam-4699033.html
Cầu băng tải thép được mệnh danh 'tháp Eiffel nằm ngang',"ĐỨCVới chiều dài 502 m và trọng lượng 13.600 tấn, cầu băng tải F60 thậm chí còn đồ sộ hơn nhiều so với tháp Eiffel nổi tiếng.",https://vnexpress.net/cau-bang-tai-thep-duoc-menh-danh-thap-eiffel-nam-ngang-4699039.html
Phát hiện rừng đước hóa đá 23 triệu năm,"Hóa thạch phát hiện trên đảo Barro Colorado hé lộ Panama từng có một rừng đước khổng lồ với cây cao 25 - 40 m, bị bùn núi lửa chôn vùi cách đây 23 triệu năm.",https://vnexpress.net/phat-hien-rung-duoc-hoa-da-23-trieu-nam-4698945.html
Chú chó cứu quân đội Australia khỏi các vụ ném bom,"Với thính giác nhạy bén, chú chó tên Gunner phát hiện máy bay Nhật từ khoảng cách hơn 160 km, giúp không quân Australia bảo vệ thành phố Darwin.",https://vnexpress.net/chu-cho-cuu-quan-doi-australia-khoi-cac-vu-nem-bom-4698119.html
Hàng triệu hạt 'nước mắt tiên cá' bao phủ bãi biển,"TÂY BAN NHASố lượng khổng lồ hạt nhựa bé li ti mắc cạn khắp các bãi biển ở vùng Galicia, đe dọa hệ sinh thái tại địa phương.",https://vnexpress.net/hang-trieu-hat-nuoc-mat-tien-ca-bao-phu-bai-bien-4698944.html
Lửa Hy Lạp - vũ khí hủy diệt của đế quốc Đông La Mã,Lửa Hy Lạp giúp quân đội Đông La Mã phản kích thành công quân Arab và trở thành cơn ác mộng cho các thủy thủ suốt thời Trung Cổ.,https://vnexpress.net/lua-hy-lap-vu-khi-huy-diet-cua-de-quoc-dong-la-ma-4698088.html
Ý nghĩa của các loại đèn trên máy bay,"Máy bay trang bị nhiều loại đèn ở các vị trí như cánh, đuôi, thiết bị hạ cánh với màu sắc và công dụng khác nhau.",https://vnexpress.net/y-nghia-cua-cac-loai-den-tren-may-bay-4698409.html
Loài rắn dùng đuôi giả làm nhện để dụ con mồi,"Rắn đuôi nhện săn mồi hiệu quả nhờ ngụy trang khéo léo và vẫy chóp đuôi, bộ phận trông rất giống nhện, để dụ chim bay đến.",https://vnexpress.net/loai-ran-dung-duoi-gia-lam-nhen-de-du-con-moi-4698410.html
Sự thật về câu chuyện 'ếch luộc',"Theo các thí nghiệm khoa học, câu chuyện cho rằng ếch không nhận ra nguy hiểm và không chạy trốn khi bị đun nóng từ từ là không chính xác.",https://vnexpress.net/su-that-ve-cau-chuyen-ech-luoc-4698546.html
Khẩu trang giúp thực hiện cuộc gọi bí mật,"PHÁPKhẩu trang Silent Mask hấp thụ giọng của người đeo và truyền cho người đang cùng trò chuyện ở đầu dây bên kia, không để âm thanh lọt ra ngoài.",https://vnexpress.net/khau-trang-giup-thuc-hien-cuoc-goi-bi-mat-4698885.html
Chuột cần mẫn dọn đồ cho nhiếp ảnh gia hàng đêm,WALESCon chuột chăm chỉ thu dọn đồ đạc và đặt lại vào khay trên bàn làm việc trong nhà kho của một nhiếp ảnh gia ở Builth Wells mỗi đêm trong suốt gần hai tháng.,https://vnexpress.net/chuot-can-man-don-do-cho-nhiep-anh-gia-hang-dem-4698529.html
Người duy nhất được chôn cất trên Mặt Trăng,Nhà địa chất học Eugene Shoemaker làm việc cho NASA trở thành người đầu tiên được chôn cất tro cốt trên bề mặt Mặt Trăng vào năm 1998.,https://vnexpress.net/nguoi-duy-nhat-duoc-chon-cat-tren-mat-trang-4698521.html
Nguyên nhân tấm bịt cửa bung ra khi máy bay Boeing cất cánh,Tấm bịt cửa dùng để thay thế cửa thoát hiểm trên máy bay Boeing 737 MAX 9 vừa gặp sự cố có thể mắc lỗi thiết kế hoặc lắp đặt.,https://vnexpress.net/nguyen-nhan-tam-bit-cua-bung-ra-khi-may-bay-boeing-cat-canh-4698672.html
Tàu đổ bộ Mặt Trăng tư nhân của Mỹ bị rò rỉ nhiên liệu,"6 giờ sau khi cất cánh, tàu đổ bộ Peregrine của công ty Astrobotic Technology bị trục trặc kỹ thuật có thể khiến nhiệm vụ hạ cánh trên Mặt Trăng thất bại.",https://vnexpress.net/tau-do-bo-mat-trang-tu-nhan-cua-my-bi-ro-ri-nhien-lieu-4698520.html
Cua robot đứng nhìn tôm tít đấm ngã cua thật,"Tôm tít, với cú đấm nhanh hơn đạn bắn và mạnh nhất thế giới động vật, dễ dàng khiến cua bất tỉnh để kéo về tổ làm thức ăn.",https://vnexpress.net/cua-robot-dung-nhin-tom-tit-dam-nga-cua-that-4698096.html
Chỗ ngồi an toàn nhất trên máy bay,"Nghiên cứu chỉ ra chỗ ngồi ở vài vị trí trên máy bay có tỷ lệ sống sót cao hơn, bất chấp các hãng hàng không và nhà chức trách khẳng định không có chỗ ngồi nào an toàn nhất.",https://vnexpress.net/cho-ngoi-an-toan-nhat-tren-may-bay-4698244.html
Bộ Khoa học và Công nghệ sẽ công bố chỉ số đổi mới sáng tạo cấp địa phương,"Chính phủ giao Bộ Khoa học và Công nghệ chủ trì, phối hợp với các đơn vị liên quan triển khai và công bố chỉ số đổi mới sáng tạo cấp địa phương hàng năm.",https://vnexpress.net/bo-khoa-hoc-va-cong-nghe-se-cong-bo-chi-so-doi-moi-sang-tao-cap-dia-phuong-4698469.html
Siêu máy tính lượng tử mới của Trung Quốc vận hành,Máy tính Origin Wukong là máy tính lượng tử siêu dẫn có thể lập trình và chuyển giao cao cấp nhất Trung Quốc.,https://vnexpress.net/sieu-may-tinh-luong-tu-moi-cua-trung-quoc-van-hanh-4698116.html
Thuốc nhuộm đồ jeans sản xuất từ vi sinh vật,"Startup Mỹ nghiên cứu cách thực vật tạo ra chất nhuộm màu chàm, sau đó biến đổi vi sinh vật để chúng tự tiết ra chất nhuộm không độc hại.",https://vnexpress.net/thuoc-nhuom-do-jeans-san-xuat-tu-vi-sinh-vat-4698123.html
Mỹ phóng tàu đổ bộ lên Mặt Trăng,"FLORIDATên lửa Vulcan Centaur phóng lúc 13h18 ngày 8/1 theo giờ Hà Nội, chở tàu vũ trụ thương mại Peregrine mang theo các thí nghiệm khoa học đổ bộ Mặt Trăng.",https://vnexpress.net/my-phong-tau-do-bo-len-mat-trang-4698086.html
Thiên thạch lớn nhất từng được phát hiện ở Mỹ,"Thiên thạch Willamette nặng 15,5 tấn hình thành ở thuở sơ khai của hệ Mặt Trời và đâm vào Trái Đất ở tốc độ hơn 64.000 km/h trước khi trôi dạt từ Canada tới Mỹ.",https://vnexpress.net/thien-thach-lon-nhat-tung-duoc-phat-hien-o-my-4698109.html
Tàu châu Á đầu tiên tiến vào quỹ đạo Mặt Trời,"Tàu Aditya-L1 của Ấn Độ hôm 6/1 tiến vào quỹ đạo Mặt Trời, đánh dấu thành tựu mới trong tham vọng thám hiểm không gian của nước này.",https://vnexpress.net/tau-chau-a-dau-tien-tien-vao-quy-dao-mat-troi-4698113.html
Nhà máy điện hạt nhân thế hệ 4 của Trung Quốc hoạt động thế nào?,"Nhà máy điện hạt nhân thế hệ 4 đầu tiên trên thế giới mang tên Shidaowan của công ty Huaneng ở tỉnh Sơn Đông phía đông Trung Quốc, đi vào hoạt động thương mại hôm 6/12/2023.",https://vnexpress.net/nha-may-dien-hat-nhan-the-he-4-cua-trung-quoc-hoat-dong-the-nao-4698194.html
Học sinh trải nghiệm thiết kế chip IC,"TP HCMKhoảng 200 học sinh THPT được trải nghiệm thiết kế chip IC đơn giản, giúp tiếp cận kiến thức vi mạch, nuôi dưỡng đam mê.",https://vnexpress.net/hoc-sinh-trai-nghiem-thiet-ke-chip-ic-4697994.html
Tại sao xích đạo nhận nhiều nắng nhất nhưng không nóng nhất?,"Những nơi nóng nhất hành tinh không nằm ngay tại xích đạo, vùng nhận nhiều nắng nhất, mà ở các vùng nhiệt đới nằm trên và dưới xích đạo.",https://vnexpress.net/tai-sao-xich-dao-nhan-nhieu-nang-nhat-nhung-khong-nong-nhat-4697838.html
Bình Dương đào tạo giảng viên thiết kế chip,"Trong 2 tháng, các giảng viên Đại học Thủ Dầu Một được đào tạo thiết kế vi mạch sau đó dạy lại cho sinh viên nhằm phát triển nhân lực lĩnh vực này.",https://vnexpress.net/binh-duong-dao-tao-giang-vien-thiet-ke-chip-4698293.html
Tại sao càng đáp trở thành bộ phận đắt giá trên máy bay?,Càng đáp không chỉ giúp máy bay hạ cánh an toàn trên các bề mặt mà còn giảm tốc độ trong trường hợp khẩn cấp giữa chuyến bay.,https://vnexpress.net/tai-sao-cang-dap-tro-thanh-bo-phan-dat-gia-tren-may-bay-4697977.html
Cuộc truy diệt thỏ lớn nhất trong lịch sử nhân loại,"Khi Australia sử dụng vũ khí sinh học để tiêu diệt thỏ cách đây 73 năm, số lượng thỏ giảm mạnh từ 600 triệu con xuống 100 triệu con, kéo theo một thảm họa ở châu Âu.",https://vnexpress.net/cuoc-truy-diet-tho-lon-nhat-trong-lich-su-nhan-loai-4697625.html
